epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,623.521,0.87517,1.26309,1.68906,0.38949,0.80397,0.46074,0.35678,0.78094,1.07205,1.52886,0.0700354,0.0033294,0.0033294
2,1225.12,0.73922,1.02701,1.51003,0.42612,0.59902,0.46327,0.36154,0.7667,1.07884,1.47134,0.0394358,0.00606309,0.00606309
3,1842.93,0.68332,0.95006,1.44486,0.42427,0.80541,0.4972,0.4112,0.64408,1.06198,1.32226,0.00823613,0.00819677,0.00819677
4,2435.23,0.64475,0.91101,1.39663,0.44161,0.72783,0.52689,0.43721,0.63705,0.9547,1.30198,0.0073,0.0073,0.0073
5,3016.21,0.61429,0.87895,1.35516,0.4514,0.72992,0.53895,0.45661,0.59664,0.90017,1.28014,0.0064,0.0064,0.0064
6,3560.6,0.59512,0.85057,1.33378,0.43765,0.74998,0.54133,0.4498,0.67542,0.9105,1.32832,0.0055,0.0055,0.0055
7,4120.35,0.57168,0.81432,1.30289,0.44602,0.73987,0.56005,0.45822,0.72565,0.89597,1.38197,0.0046,0.0046,0.0046
8,4643.65,0.55702,0.79867,1.2817,0.44325,0.70325,0.55629,0.46421,0.68893,0.89067,1.33899,0.0037,0.0037,0.0037
9,5108.54,0.52677,0.76516,1.25061,0.49007,0.73046,0.59185,0.49463,0.67291,0.86363,1.32689,0.0028,0.0028,0.0028
10,5525.16,0.51573,0.73717,1.23524,0.48569,0.72405,0.59943,0.4992,0.67923,0.87809,1.33403,0.0019,0.0019,0.0019
