epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,731.031,0.82539,1.26908,1.6649,0.36115,0.7839,0.4196,0.31255,0.97789,1.9572,1.70522,0.0700181,0.00333133,0.00333133
2,1417.44,0.69593,1.08128,1.5105,0.39862,0.77962,0.4581,0.33886,0.92818,1.84852,1.6165,0.0394182,0.00606484,0.00606484
3,2086.32,0.65492,1.01815,1.45331,0.39467,0.77488,0.47014,0.36394,0.87267,1.68425,1.55095,0.00821841,0.00819836,0.00819836
4,2752.49,0.62113,0.97893,1.41071,0.41463,0.76064,0.48787,0.37486,0.88668,1.6303,1.55639,0.0073,0.0073,0.0073
5,3418.62,0.59011,0.95508,1.37421,0.40861,0.7663,0.50399,0.38242,0.8979,1.78284,1.5428,0.0064,0.0064,0.0064
6,4085.02,0.57283,0.93442,1.35578,0.40484,0.8,0.51208,0.37881,0.9672,1.5037,1.60238,0.0055,0.0055,0.0055
7,4751.2,0.55571,0.90856,1.3328,0.4293,0.79148,0.51304,0.40026,0.82328,1.74407,1.4696,0.0046,0.0046,0.0046
8,5417.67,0.53861,0.88426,1.31188,0.44285,0.73792,0.5152,0.39847,0.84544,1.73519,1.47208,0.0037,0.0037,0.0037
9,6084.15,0.52298,0.86332,1.2928,0.45451,0.76462,0.53358,0.42443,0.78897,1.65999,1.4207,0.0028,0.0028,0.0028
10,6750.76,0.50361,0.84581,1.27132,0.45018,0.78763,0.5444,0.42461,0.82796,1.69713,1.45277,0.0019,0.0019,0.0019
