epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1147.44,0.65788,0.97843,1.2875,0.46637,0.71815,0.5861,0.46455,0.74348,1.20023,1.41593,0.0668512,0.000166577,0.000166577
2,2306.3,0.60353,0.91946,1.24925,0.53946,0.77406,0.70682,0.59032,0.65852,0.90293,1.28787,0.033684,0.000332735,0.000332735
3,3687.98,0.57917,0.88812,1.22875,0.56355,0.81305,0.71242,0.6038,0.62799,0.85594,1.25536,0.000514833,0.000496864,0.000496864
4,5034.08,0.56185,0.87402,1.21527,0.55804,0.79584,0.70236,0.60147,0.61061,0.87698,1.2385,0.000493162,0.000493162,0.000493162
5,7249.53,0.56469,0.86783,1.21874,0.56889,0.79056,0.71238,0.61,0.59669,0.85505,1.21493,0.000487886,0.000487886,0.000487886
6,33407.7,0.55928,0.86419,1.21325,0.56508,0.80681,0.7123,0.61459,0.58852,0.86661,1.20724,0.00048116,0.00048116,0.00048116
7,34478.6,0.55149,0.85523,1.20591,0.57204,0.79301,0.71626,0.61794,0.58677,0.84166,1.20561,0.000473024,0.000473024,0.000473024
8,35545.5,0.54963,0.84768,1.20693,0.57311,0.76362,0.71318,0.61003,0.61258,0.86544,1.21989,0.000463528,0.000463528,0.000463528
9,36612.2,0.54899,0.84813,1.20211,0.56913,0.77824,0.71019,0.60772,0.60025,0.86857,1.21252,0.000452732,0.000452732,0.000452732
10,37680.2,0.54343,0.84027,1.20153,0.57012,0.76245,0.70465,0.60792,0.59063,0.88414,1.20599,0.0004407,0.0004407,0.0004407
11,38747.7,0.53894,0.83261,1.19712,0.55774,0.81494,0.71134,0.61117,0.5996,0.86819,1.22056,0.000427509,0.000427509,0.000427509
12,39912.9,0.53602,0.82799,1.19502,0.56496,0.78002,0.71623,0.61867,0.58892,0.87065,1.1981,0.000413238,0.000413238,0.000413238
13,41252.3,0.53481,0.82671,1.19374,0.58758,0.78949,0.72989,0.61991,0.60562,0.8385,1.22197,0.000397977,0.000397977,0.000397977
14,42483.5,0.53074,0.82463,1.19021,0.5592,0.82439,0.71937,0.61541,0.60709,0.84482,1.22302,0.000381818,0.000381818,0.000381818
15,43822.5,0.52787,0.81978,1.18657,0.57175,0.78034,0.71378,0.61434,0.59069,0.8626,1.20783,0.000364863,0.000364863,0.000364863
16,45140.1,0.52648,0.8189,1.18684,0.56099,0.81627,0.71653,0.61676,0.60174,0.87944,1.23011,0.000347214,0.000347214,0.000347214
17,46435.2,0.5252,0.81526,1.18632,0.57002,0.79612,0.71982,0.61679,0.59523,0.86993,1.21841,0.000328982,0.000328982,0.000328982
18,47692.7,0.51386,0.79699,1.17988,0.57407,0.79656,0.71964,0.62191,0.58653,0.86102,1.20172,0.000310278,0.000310278,0.000310278
19,48813.5,0.5209,0.80035,1.18202,0.58573,0.77532,0.71824,0.61645,0.59731,0.87115,1.22472,0.000291218,0.000291218,0.000291218
20,50119.3,0.51599,0.797,1.17688,0.57997,0.79533,0.72103,0.61654,0.60042,0.87969,1.22117,0.000271919,0.000271919,0.000271919
21,51348.6,0.50864,0.78595,1.17496,0.57323,0.79844,0.72051,0.61621,0.60283,0.8659,1.22384,0.0002525,0.0002525,0.0002525
22,52654.7,0.51155,0.7922,1.17634,0.57362,0.80955,0.72227,0.6235,0.58832,0.86144,1.215,0.000233081,0.000233081,0.000233081
23,53771.6,0.50919,0.78404,1.17285,0.5802,0.80307,0.7262,0.62386,0.58473,0.85445,1.20775,0.000213782,0.000213782,0.000213782
24,54915.3,0.50273,0.78216,1.17188,0.56552,0.81003,0.72065,0.61748,0.59954,0.88279,1.22734,0.000194722,0.000194722,0.000194722
25,56234.2,0.50189,0.7725,1.16738,0.58509,0.79749,0.72928,0.62866,0.58477,0.86054,1.20982,0.000176018,0.000176018,0.000176018
26,57656.2,0.49983,0.76951,1.16674,0.56993,0.8178,0.72177,0.62317,0.58642,0.86952,1.20943,0.000157786,0.000157786,0.000157786
27,59225.8,0.49486,0.76497,1.16314,0.58576,0.7899,0.72708,0.62739,0.58335,0.86533,1.20578,0.000140137,0.000140137,0.000140137
28,60610.8,0.48784,0.76204,1.1601,0.58407,0.77907,0.72383,0.62266,0.58591,0.86937,1.20637,0.000123182,0.000123182,0.000123182
29,61918.6,0.49455,0.76364,1.16312,0.57969,0.80356,0.72721,0.62785,0.58541,0.85859,1.20274,0.000107023,0.000107023,0.000107023
30,63006.6,0.49225,0.76541,1.1621,0.5753,0.81037,0.72772,0.63006,0.58446,0.86502,1.20649,9.17616e-05,9.17616e-05,9.17616e-05
31,64105.6,0.36643,0.54733,1.14452,0.58821,0.78737,0.72607,0.62257,0.59313,0.86775,1.21777,7.74911e-05,7.74911e-05,7.74911e-05
32,65187.1,0.36291,0.5364,1.14293,0.58923,0.78202,0.7266,0.6237,0.59584,0.87458,1.21861,6.42995e-05,6.42995e-05,6.42995e-05
33,66268.5,0.35915,0.52579,1.13592,0.58995,0.79039,0.72775,0.63057,0.58713,0.87342,1.2021,5.22683e-05,5.22683e-05,5.22683e-05
34,67352.1,0.35588,0.52152,1.13318,0.58899,0.78841,0.72629,0.62953,0.59016,0.87703,1.2089,4.14716e-05,4.14716e-05,4.14716e-05
35,68434.6,0.35392,0.5185,1.13177,0.58737,0.79038,0.72666,0.62922,0.59017,0.87781,1.20764,3.19759e-05,3.19759e-05,3.19759e-05
